Evénement;Organisateur;DateDebut;DateFin;Details;Code Postal;Localité;Nom de rue;N° de Police;Phone;Email;Lien vers l'événement;Geo Shape;Geo Point
Salon des vignerons namurois - 2022;;2022-02-11;2022-02-13;"Chaque année, la Citadelle de Namur accueille le salon des vignerons. Cet événement invite tous les viticulteurs et viticultrices d’origine namuroise, que leur vignoble soit implanté à Namur ou ailleurs.
Leur passion vous est transmise dans le cadre historique du Hangar aux affûts, un ancien magasin d'artillerie construit par les Belges en 1835 et situé au cœur du domaine de Terra Nova, et qui confère une ambiance toute particulière à l’événement.
Au programme : dégustations, rencontres, découvertes de vins et de produits de terroir namurois.
14h à 20h le samedi et 14h à 19h le dimanche
Hangar aux affûts à Terra Nova
info@citadelle.namur.be";5000;NAMUR;Route Merveilleuse;64;;;https://www.namur.be/fr/agenda/salon-des-vignerons-namurois-2022;"{""coordinates"": [4.8617568796, 50.4589723863], ""type"": ""Point""}";50.4589723863,4.8617568796
« La palette de l’artiste-peintre Franz Kegeljan »;Musée des Arts décoratifs;2021-09-10;2022-04-18;"Une grande exposition rassemblant la majeure partie des œuvres du peintre issues des collections communales
En 2021, Namur rend hommage à Franz Kegeljan, peintre namurois décédé il y a 100 ans, après avoir légué à sa ville natale une partie importante de son œuvre. Temps fort de cet évènement intitulé « Kegeljan 2.1 », l’exposition « La palette de l’artiste-peintre Franz Kegeljan » investira une grande partie du Pôle muséal Les Bateliers, du rez-de-chaussée du Musée des Arts décoratifs à la chapelle en passant par le futur restaurant.
Cette exposition jettera un regard neuf sur l’artiste qui s’est adonné à la peinture et au dessin au gré de ses nombreux voyages, mais aussi sur l’homme, volontairement solitaire, qui s’intéressa, tout au long de sa vie, au mouvement des idées et à l’art.
Mardi &gt; dimanche (10h à 18h)
Fermé le lundi et les jours fériés
Fermé de 12h à 13h 
Pour les groupes, sur réservation obligatoire, en fonction des conditions sanitaires en vigueur :
www.namur.be/lesbateliers
081 24 87 20";5000;NAMUR;Rue Joseph Saintraint;7;+32 (0) 81 24 87 20;museeartsdecoratifs@ville.namur.be;https://www.namur.be/fr/agenda/la-palette-de-l2019artiste-peintre-franz-kegeljan;"{""coordinates"": [4.8610893208, 50.463047991], ""type"": ""Point""}";50.463047991,4.8610893208
Aux sources du «Temps passé»;Les Bateliers;2021-10-04;2022-01-30;"Cette exposition organisée en partenariat avec la Société archéologique de Namur via son cabinet de dessins et d’estampes abordera l’artiste sous une approche différente et complémentaire.
La Société archéologique de Namur, fondée en 1845, a pour objectif de réunir, conserver, étudier et diffuser le patrimoine de Namur et de sa région.
Dès sa création, un important ensemble de cartes, plans et vues s’est constitué. Il visait à rassembler un fonds documentaire de premier plan à titre de support et d’illustration pour les études historiques et archéologiques.
Les pièces acquises devaient répondre à trois éléments essentiels : topographie, toponymie et histoire.
On le sait, Franz Kegeljan a également puisé dans les ressources réunies par la Société archéologique pour la réalisation de sa série « Namur au temps passé ». Il a en retour fait oeuvre utile en complétant la documentation de monuments namurois disparus au tournant du siècle.
Mais pas à la Tour d’Anhaive, car suite aux inondations exceptionnelles de cet été, celle-ci doit se réinventer, du moins temporairement.
Elle ne baisse pas les bras et adapte son exposition pour la présenter à proximité de la Place de la Wallonie, dans les vitrines des locaux situés:
Avenue Bovesse, 2A à Jambes.
Les passants, les curieux et les amateurs
d’art et d’histoire pourront, 7j./7,
24h./24, y découvrir les sources d’inspiration de Franz Kegeljan ainsi que son travail en faveur de la Société archéologique de Namur, et du musée archéologique dont elle est fondatrice
www.namur.be/ lesbateliers 
081 24 87 20
Exposition gratuite";5100;JAMBES;Avenue de Luxembourg;1;+32 (0) 81 24 87 20;lesbateliers@ville.namur.be;https://www.namur.be/fr/agenda/aux-sources-du-temps-passe;"{""coordinates"": [4.8877876077, 50.4636477532], ""type"": ""Point""}";50.4636477532,4.8877876077
« Grandeur et déchéance, l'héritage patrimonial de l'abbaye de Floreffe».;TreM.a - Musée des Arts anciens du Namurois;2021-10-28;2022-01-23;"Le 27 novembre 1121, le comte de Namur Godefroid et sa femme Ermesinde donnaient à saint Norbert le domaine de Floreffe, afin d'y fonder une abbaye. Pour célébrer le 900e anniversaire de cette donation, le TreM.a - Musée des Arts anciens et la Société archéologique de Namur présentent une exposition exceptionnelle qui présente des chefs-d'œuvre en provenance notamment du Louvre et de la British Librairy. Des trésors aussi précieux que le Polyptyque-reliquaire, la Bible de Floreffe, le chandelier pascal de Postel et bien d'autres merveilles n'ont plus été rassemblés depuis plus de 50 ans.
Elle invite le visiteur à découvrir, selon un parcours chronologique courant du 12e au 18e siècle, les divers éléments qui ont joué en faveur de l'abbaye, de sa richesse, de son rayonnement et de sa capacité à produire et réunir un important patrimoine mobilier. Cet événement est complété par tout un programme de conférences, de visites guidées et d'animations scolaires ou familiales tant dans le cadre del'exposition que sur le site­ même de l'abbaye.
Accès gratuit le 1er dimanche du mois avec visite guidée gratuite.
Réservation obligatoire via le site
de 10h à 18h
www.museedesartsanciens.be";5000;NAMUR;Rue de Fer;24;+32 (0) 81 77 67 54;musee.arts.anciens@province.namur.be;https://www.namur.be/fr/agenda/grandeur-et-decheance-lheritage-patrimonial-de-labbaye-de-floreffe;"{""coordinates"": [4.8653467595, 50.4655769592], ""type"": ""Point""}";50.4655769592,4.8653467595
Mon p’tit coco;Billetterie du Théâtre;2022-01-14;2022-01-15;"Quand des blancs et des jaunes d’œufs ne savent plus où donner de la tête, ce sont les plumes qui s’envolent
Une histoire d’œufs, d’ailes, d’elles deux, d’œufs à la coque, de deux cocottes, de p’tits cocos à manger tout chaud !
Des poules qui couvent, des poussins qui rêvent de prendre leur envol. De coquille en becquée, blanc et jaune ne savent plus où donner de la tête ! Mais au fait, qui a commencé ?";5000;NAMUR;Traverse des Muses;18;+32 (0) 81 22 60 26;;https://www.namur.be/fr/agenda/mon-p2019tit-coco-1;"{""coordinates"": [4.862993455, 50.4727078892], ""type"": ""Point""}";50.4727078892,4.862993455
LO+Nicolas Michaux Panama goes to Delta;Le Delta;2022-01-15;2022-01-15;Une collaboration entre l’asbl Panama et le Service de la Culture de la Province de Namur.;5000;NAMUR;Avenue Fernand Golenvaux;14;+32 (0) 81 77 67 73;info@ledelta.be;https://www.namur.be/fr/agenda/lo-nicolas-michaux-panama-goes-to-delta;"{""coordinates"": [4.8688280306, 50.4625553424], ""type"": ""Point""}";50.4625553424,4.8688280306
"Conférence ""Floreffe, abbaye et château de la famille comtale de Namur (11e-13e siècle)""";;2022-01-20;2022-01-20;"En 1121, il y a juste 900 ans, la Comtesse et le Comte de Namur faisaient don du site de Floreffe à saint Norbert pour y établir une abbaye. L'acte mentionne une série d'infrastructures importantes existant préalablement sur le site, ce que tend à confirmer l'archéologie moderne. Pourtant, Floreffe avant Floreffe reste une zone d'ombre. Qui occupait ce site stratégique ? Quelles relations allait maintenir la famille comtale avec l'abbaye ? Quels étaient les jeux de pouvoir et d'influence ? C'est ce que Frédéric Chantinne va tenter d'éclairer d'un jour nouveau.
La conférence sera agrémentée de quelques pages musicales interprétées par les élèves de l'IMEP.
INFOS PRATIQUES
Lieu : UNamur, local BN01, Rempart de la Vierge, 5000 Namur
Les conférences-concerts débutent à 17h30 (durée totale : 1h30).
Inscription obligatoire via info@lasan.be ou +32 81/840 200 – Paiement sur place.
Participation :
Abonnés à la Saison 2020-2021 et étudiants : gratuit
Membres SAN : 7 €/conférence
Non membres : 10 €/conférence";5000;NAMUR;Rue de Bruxelles;61;;;https://www.namur.be/fr/agenda/conference-floreffe-abbaye-et-chateau-de-la-famille-comtale-de-namur-11e-13e-siecle;"{""coordinates"": [4.8604642167, 50.4662636529], ""type"": ""Point""}";50.4662636529,4.8604642167
Tetracelli;Cavatine asbl;2022-01-23;2022-01-23;"Depuis la découverte du quatuor de violoncelles de Bruxelles qui a existé entre 1934 et 1939, TerraCelli effecrue des recherches sur ses prédécesseurs. S'identifiant aux 4 musiciens des années 1930, TerraCelli souhaite continuer les démarches engagées par ces artistes mais interrompues par la Seconde Guerre Mondiale. Au programme : œuvres de Jongen, Ahsil, Challan, Darcy, Del Pueyo.
Gratuit moins de 26 ans.";5000;NAMUR;Rue Fumal;28;+32 (0) 487 36 84 51;info@cavatineasbl.be;https://www.namur.be/fr/agenda/tetracelli-1;"{""coordinates"": [4.8626294756, 50.4626602296], ""type"": ""Point""}";50.4626602296,4.8626294756
Les chemins du sacré;Exploration du Monde;2022-01-25;2022-01-26;"Aux quatre coins de la planète, à travers des lieux emblématiques et grâce à la rencontre de témoins qui racontent leur expérience, nous emprunterons les nombreux chemins de cette quête universelle. Des abysses de l’océan aux temples zen japonais, des volcans du Guatemala aux rives du Gange, des pitons rocheux des Météores aux montagnes sacrées du Tibet, des femmes et des hommes nous ouvrent la porte de leur voyage.
Partout, à travers toutes les époques et les civilisations, l’être humain a questionné l’énigme de sa vie, tentant de comprendre une réalité qui lui échappait. De cette quête fondamentale de ce que nous appelons « le sacré », sont nées au fil de l’histoire toutes les traditions religieuses et spirituelles de l’humanité́. Cette collection de documentaires explore cette notion universelle du Sacré à travers un voyage aux quatre coins du monde à la découverte de lieux emblématiques et grâce à la rencontre de femmes et d’hommes inspirants qui nous témoignent avec puissance de leur expérience intime du sacré.  Des « héros » anonymes qui à leur échelle donnent un nouveau souffle au monde, une nouvelle impulsion.
« L’expérience de la nature »
La puissance mystérieuse de la nature a plongé les premiers hommes à la fois dans la crainte et le ravissement, leur inspirant sans doute le sentiment du sacré. Des peintures rupestres de Chauvet aux Aborigènes qui communiquent avec les esprits de leurs ancêtres, de l’énergie des arbres aux secrets des plantes révélés par un guérisseur péruvien, en passant par une héritière de la cosmogonie maya au Guatemala, la dimension spirituelle de nos guides éclaire les secrets impénétrables de la nature.
« L’expérience de la sagesse » 
Avec celles et ceux qui aspirent à l’harmonie avec eux-mêmes et les autres. Des tireurs à l’arc du Kyodo au Japon, aux adeptes de la méditation de pleine conscience et aux maîtres yogis, en passant par la sagesse du monde antique, ce voyage éclaire les rives du travail sur soi.
« L’expérience de la marche » 
Avec celles et ceux qui cheminent vers des lieux sacrés comme Sheikh Hussein en Éthiopie, Palitana en Inde, ou le Mont Saint-Michel en France en passant par des montagnes japonaises arpentées par des moines Yamabushis, les buts de la marche sont multiples : purification, détachement, dépassement de soi.
14h; 17h; 20h";5000;NAMUR;Place du Théâtre;2;+32 (0) 2 648 38 10;;https://www.namur.be/fr/agenda/les-chemins-du-sacre;"{""coordinates"": [4.8679311206, 50.4641842279], ""type"": ""Point""}";50.4641842279,4.8679311206
Lisza;Théâtre Jardin Passion;2022-01-28;2022-01-28;"Du sang latino coule dans les veines de Lisza. Assurément. Si « La vie sauvage », son premier album, le laissait entrevoir, Charango son deuxième, efface tous les doutes.
D’emblée, la chanteuse et ses refrains entêtants poussent une pointe vers le Sud, déployant un Canta Querida
aux racines espagnoles avant de traverser l’Atlantique, direction les Tropiques. Aux arrangements, orchestrations et à la réalisation, on retrouve Vincent Liben (Mud Flow), qui avait déjà mis son talent au service de « La vie sauvage ». Dans ce deuxième album, il pince aussi les cordes du charango – petite guitare originaire des andes dont l’album prend le nom, et multiplie les influences, caressant ici le tres cubano et là le cuatro venezolano.
Les onze titres de Charango sont habités par le trouble, celui d’aimer. Car, indéniablement, cet album parle d’amour, qu’il s’agisse de l’amour que l’on éprouve pour
un être, pour la poésie ou encore pour la liberté ; et de la manière dont les liens nous font et nous défont, nous transforment continuellement. Charango nous fait voyager dans les rapports amoureux, ses difficultés à se vivre au quotidien, ses élans inconditionnels.";5000;NAMUR;Rue Marie Henriette;39;;info@theatrejardinpassion.be;https://www.namur.be/fr/agenda/lisza-1;"{""coordinates"": [4.8577257074, 50.4711108458], ""type"": ""Point""}";50.4711108458,4.8577257074
GoldmanMania;Billetterie du Théâtre;2022-01-29;2022-01-29;"La musique de Jean-Jacques Goldman en live vous manque ?
 GoldmanMania réalise votre rêve et monte sur scène pour vous interpréter les plus grands titres de cette star internationale ! Fermez les yeux pendant trente secondes et souvenez-vous… « J’irai au bout de mes rêves », « Envole moi », « Il suffira d’un signe », « Je marche seul », « Quand la musique est bonne », « Encore un matin »…
Un concert live exceptionnel par GoldmanMania : 7 artistes multi-instrumentistes qui vous feront vibrer et chanter au rythme des plus grands succès de Jean-Jacques Goldman.";5000;NAMUR;Place du Théâtre;2;+32 (0) 81 22 60 26;;https://www.namur.be/fr/agenda/goldmanmania-1;"{""coordinates"": [4.8679311206, 50.4641842279], ""type"": ""Point""}";50.4641842279,4.8679311206
Promenade contée d'hiver;Maison du Conte;2022-01-30;2022-01-30;"Balade contée dans les rues de Namur
Prix unique : 10 €";5000;NAMUR;Rue des Brasseurs;170;+32 (0) 81 22 92 10;;https://www.namur.be/fr/agenda/promenade-contee-dhiver;"{""coordinates"": [4.8621720912, 50.4622178921], ""type"": ""Point""}";50.4622178921,4.8621720912
Happy Family;Théâtre Jardin Passion;2022-01-31;2022-02-12;"Ce spectacle a eu dix ans ; nous avions voulu les fêter en 2019, ça sera finalement les 12 ans que nous fêterons ensemble et ce sera encore mieux ! Dans Happy Family, on parle de famille, d’amour, d’engagement, de vie, de mort, de désaccord, de rencontres…toutes les émotions que l’on connaît (enfin presque) seront dans ce spectacle drôle et touchant.
Milan, 2001, été caniculaire. Filippo et Anna, quinze ans, veulent se marier. Ils vont alors faire se rencontrer leurs deux familles, qui étonnamment s’entendent à merveille. Jusqu’au jour où…
En parallèle, on découvre Ezio, l’auteur, qui fait vivre à ces personnages différentes tranches de vie, tantôt piquantes, tantôt tristes, tantôt heureuses.
Cette douce comédie contemporaine italienne vous emmène au cœur de confessions et de longs débats enflammés, à travers une mise en scène créative et interpellante. Un must de la saison !
20h30";5000;NAMUR;Rue Marie Henriette;39;;info@theatrejardinpassion.be;https://www.namur.be/fr/agenda/happy-family;"{""coordinates"": [4.8577257074, 50.4711108458], ""type"": ""Point""}";50.4711108458,4.8577257074
Il était une fois Jean-Marie Bigard;Billetterie du Théâtre;2022-02-04;2022-02-04;"Jean-Marie Bigard, star des Grosses Têtes sur RTL, vous propose avec ses amis un spectacle 100% blagues !
Après les 52 000 spectateurs du Stade de France, + de 5 000 000 de spectateurs dans sa carrière, le meilleur raconteur d’histoires de France s’arrête chez vous pour vous conter ses meilleures blagues et ses dernières trouvailles !
Événement ! Si vous avez chez vous un raconteur de blagues, qu’il soit présent dans la salle, il montera peut-être sur scène à côté de Jean-Marie Bigard !";5000;NAMUR;Place du Théâtre;2;+32 (0) 81 22 60 26;;https://www.namur.be/fr/agenda/il-etait-une-fois-jean-marie-bigard;"{""coordinates"": [4.8679311206, 50.4641842279], ""type"": ""Point""}";50.4641842279,4.8679311206
Les affreux;Billetterie du Théâtre;2022-02-11;2022-02-12;"Dans cette joyeuse et terrible farce, les petits comme les grands riront librement des comportements et des sentiments détestables qui peuvent surgir en nous.
« Les Affreux », c’est un spectacle burlesque sans paroles raconté en musique, entre l’univers des cartoons et celui des clowns déjantés. On s’y amuse de nos plus vilains défauts, on se moque joyeusement de l’absurdité de la violence, de la méchanceté, et on y rêve de nature et de tendresse.
Les affreux, ce sont deux voisins qui vivent dans le même immeuble. Derrière leurs portes verrouillées, chacun vit seul dans son petit appartement. Trop accaparés par leur vie bien programmée et leur rapport aux écrans, ils ne se connaissent pas et se méfient de tout.
Une envie d’ouvrir le champ des possibles par le rêve, l’humour et la réflexion";5000;NAMUR;Place du Théâtre;2;+32 (0) 81 22 60 26;;https://www.namur.be/fr/agenda/les-affreux;"{""coordinates"": [4.8679311206, 50.4641842279], ""type"": ""Point""}";50.4641842279,4.8679311206
Le temps d'un rêve à l'opéra;;2021-12-06;2022-04-17;"Du panache, de l’exotisme, du mythique, du rêve, de la passion, de l’épique et du surprenant : voilà en quelques mots ce qu’est l’exposition « Le temps d’un rêve à l’opéra ». Une sélection d’objets archéologiques et d’œuvres aux couleurs vibrantes et aux détails enchanteurs prend vie à l’étage du Musée des arts décoratifs pour narrer les grands thèmes de l’opéra, dans des espaces tour à tour langoureux, tendres, naïfs, espiègles, fougueux, majestueux, martiaux et dépaysants. Ces espaces se succèdent dans une scénographie étonnante où se mêlent des reproductions de dessins de la Bibliothèque nationale de France et des décors conservés des tournages de cinéma dans l’Hôtel de Groesbeeck-de-Croix. Dans un univers lyrique où toutes les émotions sont possibles, l’image et le relief sont rois, caressant les regards bercés de notes, s’envolant dans un tourbillon de surprises qui entrainent le visiteur dans une ivresse des sens.
+ le samedi 18/12 (16h) : animation contée pour toute la famille par la Maison du conte de Namur. Réservation : 081/24.87.20. Gratuit. CST+ dès 16 ans, masque dès 6 ans.
Du mardi au dimanche, de 10h&gt;12h et de 13h&gt;18h
http://www.namur.be/lesbateliers";5000;NAMUR;Rue Joseph Saintraint;7;;;https://www.namur.be/fr/agenda/le-temps-dun-reve-a-lopera;"{""coordinates"": [4.8610893208, 50.463047991], ""type"": ""Point""}";50.463047991,4.8610893208
Dites-le avec des pleurs;PointCulture;2022-01-05;2022-01-29;"Exposition menée par Ta douce (Bruxelles), Tilde (Namur) et Jeuhmeuh (Namur), « Dites-le avec des pleurs » croise broderie contemporaine et répertoire musical international.
Comme son nom l’indique, elle propose un espace d’expression et de réflexion sur la thématique des larmes. Comme son nom ne l’indique pas, elle se veut joyeuse et accessible.
Les trois artistes présentent des pièces brodées sur mouchoir en tissu et contenant des paroles évoquant les pleurs, de Dalida et ses « Millions de larmes », à Eddy de Pretto et son « Val de larmes ». Au fil des broderies, ils font appel aux sens, aux souvenirs, mais aussi à la raison et au collectif.
Lors du vernissage, qui aura lieu le 7 janvier à 17h, les artistes proposeront un mini concert à 18h qui se terminera vers 19h. De plus, ce sont elles qui animeront notre afterwork du 28 janvier.
11h à 18h - du mardi au samedi
https://www.pointculture.be/agenda/evenements/dites-le-avec-des-pleurs/#";5000;NAMUR;Avenue Fernand Golenvaux;18;+32 (0) 2 737 19 65;info@pointculture.be;https://www.namur.be/fr/agenda/dites-le-avec-des-pleurs;"{""coordinates"": [4.8689114565, 50.462373016], ""type"": ""Point""}";50.462373016,4.8689114565
A la Miaouw;Maison du Conte;2022-01-14;2022-01-15;"Pas de quoi fouetter un chat ?
Familier de l’homme et des sorcières, parfois divinisé, parfois diabolisé , il sort ses griffes ce soir....
Souris, prends garde à toi.
Avec Thérèse Mansion, Karine Moers, Philippe Tock
En collaboration avec l’asbl Clos Copains
Réservation indispensable";5000;NAMUR;Rue des Brasseurs;170;+32 (0) 81 22 92 10;;https://www.namur.be/fr/agenda/a-la-miaouw-1;"{""coordinates"": [4.8621720912, 50.4622178921], ""type"": ""Point""}";50.4622178921,4.8621720912
"Jogging ""Foulées des neiges""";;2022-01-15;2022-01-15;"0475591396
par courriel";5020;SUARLEE;Rue Maria de Dorlodot;23;;;https://www.namur.be/fr/ma-ville/administration/services-communaux/sports/agenda-sports/jogging-foulees-des-neiges-1;"{""coordinates"": [4.7812400387, 50.4815519745], ""type"": ""Point""}";50.4815519745,4.7812400387
